Comment,Designator,Footprint,LCSC,Quantity
100R 1%,"R13,R15,R16,R22,R23,R24,R25,R27,R28,R30",R_Array_Convex_4x0603,C136838,10
100R 1%,"R12,R14,R21,R26,R29,R31,R32,R33",R_0402_1005Metric,C25076,8
100nF 50V,"C1,C10,C13,C14,C15,C17,C18,C19,C2,C21,C23,C3,C4,C5,C51,C52,C57,C58,C7,C8,C80,C83,C84,C9",C_0402_1005Metric,C307331,24
100uH CMC,L3,ACT1210D-101-2P-TL00,C3039743,1
10K 1%,"R10,R11,R53,R94",R_0402_1005Metric,C25744,4
10pF 50V,"C11,C12,C81,C82",C_0402_1005Metric,C466222,4
10uF 50V,C56,C_1206_3216Metric,C13585,1
12MHz 10pF,X1,X3225,C20625731,1
16MHz 8pF,X2,Crystal_SMD_2016-4Pin_2.0x1.6mm,C2965577,1
1K 1%,"R34,R5,R60,R62,R91",R_0402_1005Metric,C11702,5
1M 1%,R57,R_1206_3216Metric,C17927,1
1R 1%,"R37,R38",R_0402_1005Metric,C185446,2
1nF 2kV,C59,C_1206_3216Metric,C173242,1
1nF 50V,"C25,C26,C27,C28,C29,C30,C31,C32",C_0402_1005Metric,C14442,8
1uF 50V,"C53,C54",C_0402_1005Metric,C1518208,2
2.2K 1%,"R17,R18",R_0402_1005Metric,C25879,2
2.2nF 50V,C55,C_0402_1005Metric,C106861,1
2.4K 1%,R59,R_0402_1005Metric,C25882,1
27R 1%,R7,R_0402_1005Metric,C138021,1
3.3uH 2.8A,L1,0805,C42411119,1
33R 1%,"R2,R3,R4",R_0402_1005Metric,C25105,3
4.7K 1%,"R1,R8",R_0402_1005Metric,C25900,2
4.7nF 50V,C33,C_0402_1005Metric,C1538,1
4.7uF 10V,"C20,C22,C24",C_0402_1005Metric,C368809,3
4.7uF 25V,"C16,C49,C50,C6",C_0402_1005Metric,C22367824,4
5.1K 1%,"R19,R20,R52,R55,R56",R_0402_1005Metric,C25905,5
510R 1%,R93,R_0402_1005Metric,C25123,1
60.4R 1%,"R35,R36",R_0402_1005Metric,C137954,2
7.5K 1%,R54,R_0402_1005Metric,C25918,1
AT24C256C-XHL-T,IC2,TSSOP-8,C33035,1
B3U-1000P,"SW1,SW2",SW_B3U-1000P,C231329,2
Blue,D3,LED_0402_1005Metric,C22355736,1
FSUSB42MUX,IC9,MSOP-10_3x3mm_P0.5mm,C11355,1
Green,"D2,D6",LED_0402_1005Metric,C965793,2
LM4040B30FTA,IC5,SOT-23,C460604,1
MCP2515T-I/ML,IC6,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,C96140,1
MCP6001RT,IC4,SOT-23-5,C154973,1
PESD2CANFD24V-UX,D9,SOT-323_SC-70,C46970732,1
RCLAMP0582BQTCT,D1,SOT-416,C841193,1
RP2354B,IC1,QFN80_10x10,C39843328,1
SM03B-SRSS-TB,J2,JST_SM03B-SRSS-TB_LF__SN_,C160403,1
SN74LVC1G97QDCKRQ1,IC8,SOT-363_SC-70-6,C179911,1
SP0503BAHTG,"D5,D7",SOT143,C3040626,2
TCAN1044AVDRBRQ1,IC29,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,C3234119,1
TPS74801DRCT,IC7,VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,C882845,1
USB-TYPE-C-018,J3,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C2927038,1
W25Q128JVPIQ,IC3,WSON8_6x5,C190862,1
